#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Dependent_5_100,498,59672,486,8592
Dependent_5_1000,556425,121268,418656,1565908
Dependent_5_120,923,71064,670,9692
Dependent_5_140,1282,66924,1068,11328
Dependent_5_160,1888,69064,1619,13312
Dependent_5_180,2812,71128,2216,15924
Dependent_5_200,3740,71104,3101,21248
Dependent_5_220,4848,71312,4248,23712
Dependent_5_240,6829,71348,5381,25960
Dependent_5_260,8465,73212,6968,34736
Dependent_5_280,10211,73260,8902,42740
Dependent_5_300,13458,73316,10551,50888
Dependent_5_320,16014,75276,13222,64200
Dependent_5_340,18961,75528,16332,76928
Dependent_5_360,23506,75440,19056,88640
Dependent_5_380,27445,74100,20903,108192
Dependent_5_400,31363,79324,24755,125376
Dependent_5_420,38110,75512,28217,145048
Dependent_5_440,43288,77564,32702,167140
Dependent_5_460,48645,78264,38955,192404
Dependent_5_480,57344,78312,42641,213656
Dependent_5_500,64718,80504,48865,244620
Dependent_5_520,71658,80492,55293,275016
Dependent_5_540,83126,80680,62124,301028
Dependent_5_560,91486,82612,69036,337920
Dependent_5_580,100882,82676,77485,373664
Dependent_5_600,115848,84828,88885,404588
Dependent_5_620,125254,86652,98546,447588
Dependent_5_640,138681,88764,108925,488716
Dependent_5_660,155591,88984,117033,527740
Dependent_5_680,180129,91052,126277,577048
Dependent_5_700,184605,91076,140606,620704
Dependent_5_720,203658,93136,152049,664868
Dependent_5_740,220375,95056,164168,720596
Dependent_5_760,235600,95076,179439,772932
Dependent_5_780,264023,99168,191395,822260
Dependent_5_800,283233,97080,210838,884688
Dependent_5_820,299870,101152,227749,942896
Dependent_5_840,330057,101064,241437,997640
Dependent_5_860,354227,103264,267676,1066752
Dependent_5_880,374424,105580,293079,1130912
Dependent_5_900,412303,105564,303088,1191160
Dependent_5_920,434136,109524,320632,1267160
Dependent_5_940,461116,109564,347599,1337340
Dependent_5_960,498872,111768,372035,1403244
Dependent_5_980,529962,115416,389341,1489408
