#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Cesnet200603_1,59,25184,6,5948
Cesnet200603_2,102,31020,6,6212
Cesnet200603_3,102,32468,8,6164
Cesnet200603_4,118,52232,12,6484
Cesnet200706_1,71,23896,6,6208
Cesnet200706_2,77,27908,7,6212
Cesnet200706_3,102,37340,8,6168
Cesnet200706_4,115,55680,12,6484
Cesnet201006_1,112,25176,6,6212
Cesnet201006_2,85,29460,6,6208
Cesnet201006_3,130,41096,9,6476
Cesnet201006_4,197,56604,14,6664
Chinanet_1,99,23924,7,5948
Chinanet_2,103,24748,6,6212
Chinanet_3,67,29784,8,6156
Chinanet_4,104,43248,10,6476
Claranet_1,60,24984,7,5944
Claranet_2,146,26628,6,6212
Claranet_3,151,30236,7,6212
Claranet_4,119,51248,11,6476
Cogentco_1,177,55324,8,6476
Cogentco_2,255,56668,13,6684
Cogentco_3,613,68940,34,6732
Cogentco_4,1041,71104,169,7724
Colt_1,92,43756,7,6164
Colt_2,160,55888,13,6552
Colt_3,679,68812,69,7016
Colt_4,1541,71080,211,8104
Columbus_1,180,33212,7,6212
Columbus_2,240,55872,11,6520
Columbus_3,335,59792,13,6380
Columbus_4,1500,68940,35,6932
Compuserve_1,160,23852,7,5948
Compuserve_2,176,25516,6,6212
Compuserve_3,146,28940,9,6476
Compuserve_4,99,48904,10,6476
CrlNetworkServices_1,107,27492,7,6212
CrlNetworkServices_2,92,33924,8,6476
CrlNetworkServices_3,127,55496,9,6476
CrlNetworkServices_4,370,59944,48,6724
Cudi_1,107,24648,6,5948
Cudi_2,78,27768,7,6212
Cudi_3,244,38424,8,6472
Cudi_4,287,55868,12,6484
Cwix_1,255,27416,7,6208
Cwix_2,215,29272,8,6148
Cwix_3,188,41624,8,6476
Cwix_4,187,56428,15,6760
Darkstrand_1,90,26276,7,6212
Darkstrand_2,109,32340,7,6164
Darkstrand_3,105,55668,12,6552
Darkstrand_4,408,60008,42,6804
Dataxchange_1,203,23760,6,5948
Dataxchange_2,227,24608,7,6212
Dataxchange_3,166,26372,7,6212
Dataxchange_4,202,30300,8,6168
Deltacom_1,248,46136,7,6168
Deltacom_2,184,55908,11,6544
Deltacom_3,507,61992,46,6960
Deltacom_4,3684,71936,145,7780
DeutscheTelekom_1,356,24944,6,6208
DeutscheTelekom_2,416,30232,7,6212
DeutscheTelekom_3,341,45132,8,6172
DeutscheTelekom_4,526,56756,48,6856
Dfn_1,433,25660,6,5944
Dfn_2,414,28776,7,6212
Dfn_3,463,55532,11,6444
Dfn_4,618,59796,42,6804
DialtelecomCz_1,490,55608,10,6472
DialtelecomCz_2,603,56920,10,6536
DialtelecomCz_3,455,61224,19,6792
DialtelecomCz_4,2483,73224,431,10632
Digex_1,336,29256,7,6212
Digex_2,368,46848,7,6168
Digex_3,508,55620,8,6480
Digex_4,496,56940,27,6492
Easynet_1,333,25380,7,6088
Easynet_2,423,27828,7,6212
Easynet_3,440,37628,9,6476
Easynet_4,426,55612,17,6580
Eenet_1,134,24428,6,5948
Eenet_2,129,25520,6,6212
Eenet_3,120,30756,7,6212
Eenet_4,162,39828,11,6476
EliBackbone_1,129,28120,7,6212
EliBackbone_2,186,28684,7,6212
EliBackbone_3,166,55320,9,6476
EliBackbone_4,183,55752,19,6624
Epoch_1,398,24444,6,5948
Epoch_2,379,23772,6,6212
Epoch_3,382,27392,7,6212
Epoch_4,425,46780,16,6544
Ernet_1,510,23784,6,5948
Ernet_2,412,25832,7,6208
Ernet_3,486,38120,8,6148
Ernet_4,421,55572,11,6444
Esnet_1,472,28820,6,6212
Esnet_2,325,38384,7,6152
Esnet_3,155,55612,10,6440
Esnet_4,652,61816,30,6588
Eunetworks_1,67,24892,6,5944
Eunetworks_2,236,30328,6,6212
Eunetworks_3,197,41264,7,6160
Eunetworks_4,472,55708,12,6528
Evolink_1,425,24528,7,6096
Evolink_2,384,34928,8,6160
Evolink_3,414,43316,10,6476
Evolink_4,621,65972,40,6356
Fatman_1,333,24472,11,6096
Fatman_2,371,27292,12,6160
Fatman_3,185,28352,12,6164
Fatman_4,191,40752,16,6360
Fccn_1,155,23876,9,6096
Fccn_2,221,25932,10,6164
Fccn_3,149,29664,13,6164
Fccn_4,368,53420,23,6420
Forthnet_1,164,24484,9,6096
Forthnet_2,256,28008,9,6092
Forthnet_3,401,31984,11,6044
Forthnet_4,293,55816,18,6368
Funet_1,300,25492,9,5976
Funet_2,445,31512,10,6096
Funet_3,446,55700,18,6416
Funet_4,461,59088,87,6740
Gambia_1,550,25496,9,6096
Gambia_2,482,29152,11,6096
Gambia_3,474,55276,16,6360
Gambia_4,321,55928,23,6500
Garr199901_1,290,23864,9,6096
Garr199901_2,231,24536,9,6164
Garr199901_3,216,29484,47,6164
Garr199901_4,326,31980,43,6428
Garr199904_1,158,23828,32,6096
Garr199904_2,214,25284,42,6164
Garr199904_3,227,26332,11,6164
Garr199904_4,250,45672,13,6360
Garr199905_1,276,24688,8,6096
Garr199905_2,182,24028,10,6164
Garr199905_3,309,29468,13,6160
Garr199905_4,279,38532,14,6428
Garr200109_1,223,23772,8,6096
Garr200109_2,404,24980,10,6164
Garr200109_3,391,29084,10,6092
Garr200109_4,349,38320,15,6360
Garr200112_1,318,23916,9,6096
Garr200112_2,346,25184,10,6096
Garr200112_3,402,26664,13,6164
Garr200112_4,394,39944,15,6248
Garr200212_1,315,25100,11,5900
Garr200212_2,345,25980,11,6096
Garr200212_3,496,30820,10,6096
Garr200212_4,473,54048,16,6360
Garr200404_1,530,23820,12,5992
Garr200404_2,487,25256,10,6092
Garr200404_3,492,28728,12,6096
Garr200404_4,634,31844,16,6360
Garr200902_1,500,24804,11,6096
Garr200902_2,438,27724,12,6164
Garr200902_3,577,51956,22,6308
Garr200902_4,513,56284,34,6552
Garr200908_1,422,25908,10,6096
Garr200908_2,399,30544,11,6096
Garr200908_3,165,55736,22,6376
Garr200908_4,257,56236,24,6660
Garr200909_1,178,23944,12,5900
Garr200909_2,200,27224,15,6096
Garr200909_3,186,37088,13,6048
Garr200909_4,358,56196,23,6568
Garr200912_1,152,26088,10,6096
Garr200912_2,113,27052,11,6092
Garr200912_3,214,42920,16,6428
Garr200912_4,369,55984,32,6576
Garr201001_1,292,24456,11,6096
Garr201001_2,298,27232,13,6100
Garr201001_3,301,45148,14,6428
Garr201001_4,292,55968,20,6412
Garr201003_1,193,26204,14,6096
Garr201003_2,145,30500,13,6096
Garr201003_3,122,40264,17,6360
Garr201003_4,166,55948,20,6368
Garr201004_1,61,25292,240,6164
Garr201004_2,59,29012,404,6164
Garr201004_3,209,47940,222,6352
Garr201004_4,264,56060,272,6520
Garr201005_1,91,25836,232,5980
Garr201005_2,81,27604,248,6088
Garr201005_3,108,37732,262,6428
Garr201005_4,379,59480,249,6592
Garr201007_1,354,25332,148,6132
Garr201007_2,514,30180,224,6096
Garr201007_3,407,48520,169,6360
Garr201007_4,367,56068,168,6452
Garr201008_1,415,25516,153,6096
Garr201008_2,245,27240,150,6156
Garr201008_3,316,31828,111,6044
Garr201008_4,281,56316,161,6668
Garr201010_1,236,25668,133,5900
Garr201010_2,268,30424,115,6164
Garr201010_3,220,37288,131,6112
Garr201010_4,144,55916,115,6520
Garr201012_1,73,25972,101,6092
Garr201012_2,90,29924,135,6156
Garr201012_3,97,45744,166,6052
Garr201012_4,203,56212,208,6584
Garr201101_1,96,25228,123,6092
Garr201101_2,138,33016,14,6164
Garr201101_3,112,39884,15,6360
Garr201101_4,140,55872,23,6412
Garr201102_1,94,25628,11,6096
